"","Sp.id","Sp.name","Parameter","mean","Rhat","n.eff"
"1",1,"Asterionella formosa","K_s",3.98200779501485,1.0022120616562,1200
"2",1,"Asterionella formosa","deviance",-45.1279664536751,1.00057674443265,3000
"3",1,"Asterionella formosa","r_max",0.662942840845964,1.00215430074537,1200
"4",1,"Asterionella formosa","sigma",0.122771420563632,1.00067430346756,3000
"5",2,"Chlorella sp.","K_s",6.64734870852015,1.00079373172654,3000
"6",2,"Chlorella sp.","deviance",-48.0526796206863,1.00179069838495,3000
"7",2,"Chlorella sp.","r_max",1.19129639602375,1.00080258771969,3000
"8",2,"Chlorella sp.","sigma",0.117436252260798,1.00097883520575,3000
"9",3,"Coelastrum sp.","K_s",10.4392788199887,1.00148908596857,2000
"10",3,"Coelastrum sp.","deviance",-70.5255201789634,1.00057940898941,3000
"11",3,"Coelastrum sp.","r_max",0.801050052210531,1.00053342915703,3000
"12",3,"Coelastrum sp.","sigma",0.0823793866536691,1.00181485906858,1500
"13",4,"Cyclotella pseudostelligera","K_s",5.71202833457947,1.00102166818054,3000
"14",4,"Cyclotella pseudostelligera","deviance",5.10302328758703,1.00173447675904,1600
"15",4,"Cyclotella pseudostelligera","r_max",1.01785101791436,1.00207859645416,1300
"16",4,"Cyclotella pseudostelligera","sigma",0.270017115919238,1.00282315156603,860
"17",5,"Eudorina elegans","K_s",34.4457346269361,1.00076743009062,3000
"18",5,"Eudorina elegans","deviance",21.4311770897802,1.00084098841734,3000
"19",5,"Eudorina elegans","r_max",0.933156720235599,1.0009265505369,3000
"20",5,"Eudorina elegans","sigma",0.347047928524297,1.00062498215749,3000
"21",6,"Fistulifera saprophila","K_s",50.0223580516105,1.00167677198964,1700
"22",6,"Fistulifera saprophila","deviance",20.6641479123324,1.00086767812575,3000
"23",6,"Fistulifera saprophila","r_max",1.37937101213243,1.00175869493137,1600
"24",6,"Fistulifera saprophila","sigma",0.346375328809386,1.00083337863991,3000
