"","Pop.fac","Pop.num","unique.id","K.s","r.max","R.jag","R.mth"
"1","1",1,"1.B09",1.12447051768927,1.51485963437585,0.625,0.659472311150322
"2","1",1,"1.C06",2.33343794893067,1.58205820879862,1.175,1.27852331711828
"3","1",1,"1.E02",1.09000538988845,1.52955534127882,0.625,0.629570064079504
"4","1",1,"1.F11",0.999072980366584,1.36289143353526,0.675,0.696832530074214
"5","2",10,"10.B10",1.16365794106485,1.42888688382731,0.725,0.74998076173726
"6","2",10,"10.C08",1.19158200630579,1.50285322030585,0.675,0.707730439012324
"7","2",10,"10.E04",1.34124982039914,1.66650470566569,0.45,0.678804071575677
"8","2",10,"10.F09",1.26632941351125,1.59061828672685,0.675,0.688076740631568
"9","20",11,"11.B06",2.91684341174027,1.64116059863552,1.425,1.51081376128211
"10","20",11,"11.D03",2.28343553345354,1.44657708211029,1.375,1.44231553526094
"11","20",11,"11.D08",3.15989168962789,1.52826864216723,1.7,1.82752933342026
"12","20",11,"11.E09",3.49462920889392,1.64520829438586,1.75,1.80333339424769
"13","21",12,"12.C02",0.49063162888522,1.45742473301162,0.3,0.306157945138966
"14","21",12,"12.C09",0.870244443713927,1.54758022616565,0.5,0.493465619873656
"15","21",12,"12.E09",0.76215794540231,1.47764650206518,0.475,0.465112054004185
"16","21",12,"12.F04",0.609163775326898,1.42821812254237,0.4,0.392910151638093
"17","22",13,"13.B05",6.05148451480084,1.6159657755578,2.975,3.20922458542594
"18","22",13,"13.D03",6.31667983807729,1.39725491878356,4.025,4.22492675762675
"19","22",13,"13.E10",5.96502475220796,1.50827934577104,3.275,3.52260531259424
"20","22",13,"13.F06",6.20157457267042,1.37306173356694,4.075,4.27136294492641
"21","23",14,"14.B06",2.03185509542238,1.56203239408638,1.075,1.13553100693314
"22","23",14,"14.C10",2.6421099380412,1.80894950705397,1.15,1.18466083452254
"23","23",14,"14.E05",2.14502835084383,1.58356916726725,1.125,1.17355613561474
"24","23",14,"14.F10",2.47693767604403,1.66869740678101,1.175,1.25109438346385
"25","24",15,"15.B11",1.40020607357652,1.64477046868766,0.725,0.722839922210879
"26","24",15,"15.D02",1.35372594574978,1.78236603080526,0.6,0.620179643834238
"27","24",15,"15.E06",1.23825572732633,1.57801741839852,0.675,0.681150631384671
"28","24",15,"15.E11",1.27699355773694,1.51912172907304,0.725,0.745595027884335
"29","25",16,"16.B02",0.597755750276056,1.49401981653512,0.35,0.358389848083064
"30","25",16,"16.C05",0.89863182055537,1.59870262432806,0.475,0.484483053883251
"31","25",16,"16.E03",1.11094419089272,1.57572775468461,0.6,0.612495566878645
"32","25",16,"16.F02",0.772775998108326,1.51612805897908,0.45,0.452611504156403
"33","26",17,"17.B09",2.45984102983831,1.68118906394783,1,1.22861613710278
"34","26",17,"17.C06",1.65791643963665,1.49147469207962,0.975,0.996734762727361
"35","26",17,"17.E02",1.94946298664001,1.58853034368897,1.025,1.06141668956782
"36","26",17,"17.F11",1.7216504431884,1.51755552794038,1,1.00685988441763
"37","27",18,"18.B07",1.47123892118334,1.57070267690954,0.775,0.815169302194708
"38","27",18,"18.C07",1.9530044646887,1.59365314195032,0.925,1.05807495361751
"39","27",18,"18.D11",2.0228962953593,1.57435795138139,1.05,1.116787149801
"40","27",18,"18.G02",2.49964979461549,1.54384724555401,1.325,1.42278579455334
"41","28",19,"19.B02",0.509904966212801,1.55028566185462,0.25,0.288347889985999
"42","28",19,"19.C05",0.50224011486557,1.40580310108701,0.325,0.332529478744232
"43","28",19,"19.E03",0.640189512519539,1.41839731655388,0.4,0.417645908365838
"44","28",19,"19.F02",0.79728125179289,1.46048240752111,0.45,0.495820348376494
"45","10",2,"2.C02",1.48975967487892,1.45087272190265,0.875,0.9364585955112
"46","10",2,"2.D05",1.49343644666234,1.49208008669453,0.875,0.897266685630846
"47","10",2,"2.D11",2.0446650611838,1.50618143610193,1.05,1.21014045570387
"48","10",2,"2.F08",1.54914437003317,1.48326421503336,0.825,0.939623601882191
"49","29",20,"20.B10",0.748746921939426,1.50485208273664,0.425,0.443771341511611
"50","29",20,"20.D02",0.452122303360686,1.39903575895452,0.3,0.301761262472852
"51","29",20,"20.E06",1.04256869916559,1.41007656257001,0.675,0.686806926858014
"52","29",20,"20.F04",0.689293656328853,1.39690119212645,0.425,0.461230610226964
"53","3",21,"21.B03",0.853260632342534,1.53206167422233,0.475,0.491559297916043
"54","3",21,"21.C10",1.35797978259655,1.57532914824905,0.7,0.748987340278282
"55","3",21,"21.D09",0.35862491132588,1.34809419561661,0.25,0.25482988132575
"56","3",21,"21.F09",1.15894337749601,1.48709504987056,0.65,0.700045040137339
"57","30",22,"22.C03",2.22616701745149,1.68638172539754,1,1.10677712685088
"58","30",22,"22.C09",2.50453833267208,1.61443553219982,1.175,1.33013486691813
"59","30",22,"22.E03",1.06339706482244,1.50648892687085,0.6,0.629169913555495
"60","30",22,"22.E08",1.7095647247667,1.49956759157043,0.95,1.0189328095802
"61","31",23,"23.B04",2.05596809644868,1.58401784938824,1.075,1.12433795436192
"62","31",23,"23.D06",1.92061619420262,1.57125397606192,1.05,1.06357561425065
"63","31",23,"23.D09",1.15907880134747,1.42243454928116,0.725,0.752618421068118
"64","31",23,"23.F08",1.86459825908372,1.46280508447102,1.1,1.15658965932685
"65","32",24,"24.C04",2.39692019941847,1.71016361185392,1.075,1.16702988847888
"66","32",24,"24.D07",1.33592467500569,1.50279541902824,0.775,0.793510238705111
