"","Pop.fac","Pop.num","unique.id","Model","T.min","T.max","T.br","T.opt","r.max"
"1","1",1,"1.B09","Lactin 2",6.21631674860706,40.212993116758,16.5482667311315,34.0851520280725,3.93541068944681
"2","1",1,"1.C06","Lactin 2",7.31680378889483,40.2922051203748,16.4884351175475,33.9971981811865,3.95695727700276
"3","1",1,"1.E02","Lactin 2",6.90125440690093,40.2504253587258,15.9917805004963,34.5568997166902,3.84996665304417
"4","1",1,"1.F11","Lactin 2",7.25615757215142,40.1643669044581,15.0550194352822,35.1734693736905,4.26625044625923
"5","2",10,"10.B10","Lactin 2",7.91461469214237,40.0113400929632,17.2793734098469,32.745034672293,3.87217577166907
"6","2",10,"10.C08","Lactin 2",8.1350346521442,39.9669907146852,17.158266468762,32.8002115003466,3.64924500245572
"7","2",10,"10.E04","Lactin 2",6.49228900107411,40.0284883203335,17.1126472396248,33.2659975060819,3.85022636581397
"8","2",10,"10.F09","Lactin 2",8.09220973720974,40.0344016503516,16.7218952581788,33.273981231367,3.90497144958025
"9","20",11,"11.B06","Lactin 2",4.63384484725496,40.0155032037654,16.1087749941646,34.6677745772238,3.78635341780264
"10","20",11,"11.D03","Lactin 2",4.98593311574102,40.3181581511873,17.9491772689423,33.2834761543512,3.44113070250003
"11","20",11,"11.D08","Lactin 2",6.86410806205908,40.2259267373622,16.9364038914299,33.5713000459507,3.98823628931303
"12","20",11,"11.E09","Lactin 2",4.69223076747905,40.1291885357428,16.7216600269565,34.166330615962,3.83852568496541
"13","21",12,"12.C02","Lactin 2",5.30450018411408,40.2579764916616,17.5997071783153,33.1265389712163,4.77830206633598
"14","21",12,"12.C09","Lactin 2",5.48654508219057,40.2677181382086,17.280923274704,33.4039045210379,4.74599200931102
"15","21",12,"12.E09","Lactin 2",6.14711009047358,40.2817524453607,17.5937441375143,33.077936926773,4.38780678522656
"16","21",12,"12.F04","Lactin 2",6.69861896253594,40.259617231133,16.6016947347178,33.7852211826744,4.77735578444643
